"id","firstName","lastName","adp","projectedPoints","slotName","teamName","lineupStatus","byeWeek"
"78a5634d-93aa-4cd9-b1af-dfb829df452c","Christian","McCaffrey","1.1","308.3","RB","Carolina Panthers",,
"a971451b-f89e-498f-a6b4-060854880ed6","Dalvin","Cook","2.2","282.5","RB","Minnesota Vikings",,
"53565b50-b52d-4c4f-bcf7-ee96476f4bbc","Derrick","Henry","3.4","248.8","RB","Tennessee Titans",,
"fbaa93f9-6961-407f-9042-5d033198e870","Saquon","Barkley","4.2","251.1","RB","NY Giants",,
"30149020-3a70-47ce-a8e2-b52f0a5770fa","Alvin","Kamara","5.1","261.2","RB","New Orleans Saints",,
"c806c4a0-893a-4797-8e71-78ee908bf72d","Jonathan","Taylor","7.1","245.2","RB","Indianapolis Colts",,
"c5897583-8409-4f22-a2af-e0eb91deaadd","Ezekiel","Elliott","7.5","252.4","RB","Dallas Cowboys",,
"e4241c8c-f93e-4cc0-9512-0ed95e81f98d","Travis","Kelce","7.6","218.2","TE","Kansas City Chiefs",,
"1c94a675-56a9-457d-8c67-2d5d603ccc1a","Tyreek","Hill","9.3","248.4","WR","Kansas City Chiefs",,
"b6b12a45-ce72-4377-92be-c3aabdcc1184","Cam","Akers","10.0","240.0","RB","Los Angeles Rams",,
"89934e03-aeea-48ce-aedf-1921375c3309","Nick","Chubb","11.4","246.4","RB","Cleveland Browns",,
"bae7ce70-f464-4e36-a82b-9cd1ee544f03","Austin","Ekeler","13.4","248.7","RB","Los Angeles Chargers",,
"0c34def2-b7a8-4bd5-91d7-92fb7620707b","Stefon","Diggs","13.6","257.5","WR","Buffalo Bills",,
"6f5ca433-e04e-47e9-aea3-f49aff710a42","Aaron","Jones","13.8","241.2","RB","Green Bay Packers",,
"f74e006b-22ee-4c75-b49b-7d852608e0e4","Joe","Mixon","14.8","250.8","RB","Cincinnati Bengals",,
"60fa6a9f-f875-4f7f-9bdc-8528b10fa2ec","Davante","Adams","17.2","247.9","WR","Green Bay Packers",,
"905c0101-703f-4135-8766-887191888ef6","Najee","Harris","17.7","225.6","RB","Pittsburgh Steelers",,
"bbdce1e0-d8ff-4fae-84e2-f5502af4ec88","A.J.","Brown","19.1","243.5","WR","Tennessee Titans",,
"6ab5e718-0bf1-452c-9751-7da35db5040d","DeAndre","Hopkins","19.5","244.0","WR","Arizona Cardinals",,
"85042f1d-6412-437d-a084-d8a81fcc2998","Antonio","Gibson","19.5","247.6","RB","Washington Football Team",,
"14752cac-ba74-489e-b329-d8c947d20bf0","Calvin","Ridley","20.2","231.3","WR","Atlanta Falcons",,
"368809c5-5593-4e6f-b5f2-005d746110ed","Clyde","Edwards-Helaire","21.5","226.8","RB","Kansas City Chiefs",,
"0411beb7-13f8-4eef-8efb-b642b32bd87e","Darren","Waller","23.5","188.3","TE","Las Vegas Raiders",,
"77e50362-0993-45c3-b62b-535603702815","DK","Metcalf","24.4","225.5","WR","Seattle Seahawks",,
"5bcf9b6e-f5e1-4e64-9601-960d07339eed","George","Kittle","25.1","182.3","TE","San Francisco 49ers",,
"504b7e2e-b51f-4caa-b3fe-7036002edb61","Justin","Jefferson","25.3","227.9","WR","Minnesota Vikings",,
"6b9c18b8-9ec6-44c4-9279-2b0330d834c6","D'Andre","Swift","27.1","216.6","RB","Detroit Lions",,
"df4e11c4-0680-4abe-8ebd-670e4e6b4dc8","Michael","Thomas","28.4","224.9","WR","New Orleans Saints",,
"63496c12-3ffd-47da-9171-91fa2f05f4b0","Keenan","Allen","29.1","233.6","WR","Los Angeles Chargers",,
"fa47f7f2-e829-4bdd-83f4-eae893b3b666","J.K.","Dobbins","29.3","205.0","RB","Baltimore Ravens",,
"2c4aba71-f79b-4bc5-a0b5-7bb011e82f4c","Miles","Sanders","33.0","213.2","RB","Philadelphia Eagles",,
"360668e9-73ae-42cb-b1e2-431a081127f9","Amari","Cooper","33.4","213.6","WR","Dallas Cowboys",,
"2d4a5363-902f-42a2-a736-15dfafff5174","Chris","Carson","33.5","212.5","RB","Seattle Seahawks",,
"dde1f148-591b-402f-86b0-58f0081fc481","Allen","Robinson","34.2","224.2","WR","Chicago Bears",,
"3c471463-ef3b-494c-8419-b7e7c543d78d","Terry","McLaurin","34.6","201.6","WR","Washington Football Team",,
"4c50397f-58e1-4192-a615-ca90203b75b3","Patrick","Mahomes","35.5","365.8","QB","Kansas City Chiefs",,
"52a430d1-8de7-4205-91a0-754467638584","CeeDee","Lamb","35.7","208.2","WR","Dallas Cowboys",,
"3de753aa-b839-4e14-811c-6133a17e0275","David","Montgomery","39.3","225.1","RB","Chicago Bears",,
"db872aff-d130-4e00-b36d-5872fa082678","Mike","Evans","39.3","214.7","WR","Tampa Bay Buccaneers",,
"7593a29a-509b-48ca-83a2-94978d009776","Julio","Jones","40.6","221.1","WR","Atlanta Falcons",,
"6efc7dfd-62b8-4b13-8270-da0b244cd65c","D.J.","Moore","42.5","211.5","WR","Carolina Panthers",,
"31dd5346-10db-404e-ad43-2046d17e4a1f","Josh","Jacobs","43.4","185.5","RB","Las Vegas Raiders",,
"5838d251-c804-45ba-81a6-1fa393e87fb8","Robert","Woods","43.5","211.2","WR","Los Angeles Rams",,
"9037daa2-4919-42ef-878d-93107850b132","Chris","Godwin","44.0","192.4","WR","Tampa Bay Buccaneers",,
"9f02af32-ee27-44e1-965f-fd987306e112","Josh","Allen","47.6","359.1","QB","Buffalo Bills",,
"c27cc3b7-fecf-4fdc-8c93-6a841c99ba9d","Ja'Marr","Chase","47.7","180.7","WR","Cincinnati Bengals",,
"c1555be9-c783-4956-9878-110a7311e755","Mike","Davis","48.4","201.5","RB","Atlanta Falcons",,
"f13c9f2f-80e2-4e0e-96a1-5fababdf8210","Travis","Etienne","49.1","181.8","RB","Jacksonville Jaguars",,
"7ced4027-8866-4c00-8b48-d4dd3f87b3f6","Tyler","Lockett","49.4","181.9","WR","Seattle Seahawks",,
"40646904-2ee6-4f26-bcc2-b589c210af73","Cooper","Kupp","50.1","204.7","WR","Los Angeles Rams",,
"db32bb24-2e66-41c0-9e11-6f755d462650","Kyle","Pitts","50.4","127.9","TE","Atlanta Falcons",,
"0adac6f8-a42a-4513-ac93-6dd8c5d9d4a2","Adam","Thielen","51.1","174.8","WR","Minnesota Vikings",,
"5ecb7ab8-6764-42b7-ac6d-a6255d89f38a","Kyler","Murray","53.2","345.1","QB","Arizona Cardinals",,
"0cf6bc46-b571-4372-aa57-32af7d67190f","Myles","Gaskin","53.6","184.5","RB","Miami Dolphins",,
"fd72ef9d-36c4-4fbf-b325-65ff41fa110d","Lamar","Jackson","54.6","347.9","QB","Baltimore Ravens",,
"c3497052-67d1-481c-a91b-cdd4cd96183f","Diontae","Johnson","56.3","171.4","WR","Pittsburgh Steelers",,
"d73f17fd-4957-41c3-bea1-93302a4fc132","Kareem","Hunt","56.5","177.2","RB","Cleveland Browns",,
"8c1afe5c-73e5-4208-bee8-73ed04ecfd53","Dak","Prescott","58.3","341.3","QB","Dallas Cowboys",,
"36110b72-0437-42d9-9120-02b959778259","Kenny","Golladay","58.6","176.4","WR","NY Giants",,
"7f0c4a8a-67e0-4824-a327-69ec705c4986","Tee","Higgins","59.1","180.0","WR","Cincinnati Bengals",,
"92d5e34f-80bc-44ca-8d36-c37b3c3f67ab","Mark","Andrews","60.4","145.7","TE","Baltimore Ravens",,
"3780664d-6a09-4e77-b692-a1451487d77d","T.J.","Hockenson","61.2","129.1","TE","Detroit Lions",,
"aeb3fea8-d146-450f-a64d-01b287464b0e","Brandon","Aiyuk","62.7","160.2","WR","San Francisco 49ers",,
"ebe7d851-268f-4b75-969b-6c6f42a25b78","Odell","Beckham","64.6","174.7","WR","Cleveland Browns",,
"6fb6df57-9d4b-47ce-a4a4-13a06288a473","Javonte","Williams","65.9","173.4","RB","Denver Broncos",,
"637545ae-612a-45ae-9707-54f0380d580a","Chase","Edmonds","66.1","177.6","RB","Arizona Cardinals",,
"d0de1cfd-03f1-4c86-838c-d4d9676a21b5","Courtland","Sutton","67.4","185.9","WR","Denver Broncos",,
"6e5a0d73-9772-4a93-8a8f-7cb2db52b7d4","Chase","Claypool","68.1","170.4","WR","Pittsburgh Steelers",,
"5f96b621-5e34-4288-a8e1-4817ded3d144","D.J.","Chark","68.9","165.6","WR","Jacksonville Jaguars",,
"933b67a2-84df-4059-bb30-4a46c794225c","Justin","Herbert","70.2","333.0","QB","Los Angeles Chargers",,
